,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
164,Cephalanthus occidentalis,CEOC2,1,1,1,0,12,6,0,"Archewild Quakertown, Bowman's New Hope, Collins Glenside, Earthbound Ephrata, Edge ot Woods Orefield, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge, Musser Indiana, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,10.0,Yes,Yes,Yes,Shrub,Cephalanthus occidentalis,Buttonbush,Rubiaceae,"L48 (N), CAN (N)","AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Cream–white,Yes,Jun–Aug,6–20,Short,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade",Moist,High,,Low,4.7–8.6,Low,Moderate,Spring,None,Yes,Medium,Medium,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,"Aellopos titan titan, Aethes cephalanthana, Callosamia promethea, Citheronia regalis, Darapsa versicolor, Harrisimemna trisignata, Hyalophora cecropia, Hyalophora euryalus, Hyphantria cunae, Ledaea perditalis, Machimia tetoriferella, Melanomma auricinctaria, Mompha cephalonthiella, Orgyia leucostigma, Rothschildia lebeau forbesi",Yes,,
165,Cerastium arvense,CEAR4,1,1,0,0,1,5,0,Archewild Quakertown,PlantMoreNatives.com,Longwood Gardens,No,,3.6,Yes,No,No,Herb (perennial),Cerastium arvense,Field Chickweed,Caryophyllaceae,"L48 (N), AK (N), CAN (NI), GL (N), SPM (N)","AK, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY",Pollinator,,,Jun,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,,Yes,Yes,,,,,,,Yes,"Haematopis grataria, Heliothis borealis",,,
166,Cerastium nutans,CENU2,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (annual or perennial),Cerastium nutans,Nodding Chickweed,Caryophyllaceae,"L48 (N), CAN (N)","AL, AR, AZ, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Pollinator,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Unlikely,High,Adult Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,,Yes,Yes,,Yes,,,,,,,,,
167,Cercis canadensis,CECA4,1,1,1,0,10,6,0,"Archewild Quakertown, Bowman's New Hope, Collins Glenside, Earthbound Ephrata, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,11.0,Yes,Yes,Yes,"Tree, Shrub",Cercis canadensis,Eastern Redbud,Fabaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV",Workhorse/Pollinator,Pink,Yes,Mar–Apr,10–30,Short,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade",Moist,Low,,None,5–7.9,Low,Slow,"Spring, Summer",None,Yes,High,Medium,Medium/Low,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Acronicta americana, Amphipyra pyramidoides, Archips argyrospila, Automeris cecrops pamina, Automeris io, Automeris io io, Automeris io neomexicana, Automeris louisiana, Automeris zephyria, Callophrys henrici, Eurytides marcellus, Fascista cercerisella, Hyphantria cunae, Lophocampa maculata, Malacosoma americana, Malacosoma californica california, Norape ovina, Oligocentria semirufescens, Orgyia leucostigma, Orgyia leucostigma leucostigma, Papilio troilus, Schizura ipomoeae, Sosipatra thurberiae",Yes,,
168,Chamaecrista fasciculata,CHFA2,1,1,1,1,3,5,2,"Arcadia Washington, Collins Glenside, Keystone Robesonia",ErnstSeed.com,Longwood Gardens,Yes,,8.5,Yes,Yes,No,Herb (annual),Chamaecrista fasciculata,Partridge Pea,Fabaceae,L48 (N),"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV",Workhorse/Pollinator,Yellow,Yes,Jul–Sep,1–3,,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,Low,5.5–7.5,Medium,Rapid,Spring,None,No,Medium,None,High/Medium,Seed,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Adelphia petrella, Automeris io io, Caristanius decoloralis, Eurema lisa, Eurema nicippe, Fundella pellucens, Hemiargus ceraunus antibubastus, Phoebis sennae, Phoebis sennae eubule. Pleuroprucha insulsaria, Polyhymno luteostrigella, Stegasta bosqueella",,,
169,Chamaecrista nictitans,CHNI2,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,3.0,Yes,Yes,No,"Shrub, Herb (annual or perennial)",Chamaecrista nictitans,Sensitive Partridge Pea,Fabaceae,"L48 (N), HI (I), PR (N), VI (N)","AL, AR, AZ, CT, DC, DE, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,,Yes,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,,Yes,,Yes,,,,Yes,Yes,"Adelphia petrella, Aristotelia corallina, Caristanius decoloralis, Caristanius minimus, Eurema lisa, Hemiargus ceraunus antibubastus, Selenisa sueroides",,,
170,Chamaecyparis thyoides,CHTH2,1,1,1,0,7,4,0,"Archewild Quakertown, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Musser Indiana, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,5.2,No,Yes,No,Tree,Chamaecyparis thyoides,Atlantic White Cedar,Cupressaceae,L48 (N),"AL, CT, DE, FL, GA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, VA",Pollinator,Green,No,Apr–May,50,Long,Single Stem,Erect,No Color,Evergreen,"Sun, Part Shade",Wet,Low,,None,3.5–6.3,Medium,Moderate,"Spring, Summer",Medium,No,None,Medium,High/Low,"Seed, Container, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Callophrys hesseli, Eacles imperialis, Isoparce cupressi, Mitoura hesseli",,,Yes
171,Chamaedaphne calyculata,CHCA2,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.6,Yes,Yes,No,Shrub,Chamaedaphne calyculata,Leatherleaf,Ericaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, CT, DE, IA, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, VT, WI",Pollinator,White,No,Mar–Apr,1–3,Moderate,Rhizomatous,Irregular,No Color,Evergreen,"Sun, Part Shade",Wet,High,,Low,5–6,Low,Moderate,"Spring, Summer",None,Yes,Low,Medium,Medium/Low,"Seed, Container, Bare root, Cutting",Available 2017,High,Adult Food; Larval Food,"Native Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,,,Yes,,Yes,,,,Yes,Yes,"Acleris oxycoccana, Archips myricana, Callophrys augustinus, Choristoneura obsoletana, Cingilia catenaria, Coenophila opacifrons, Coleophora ledi, Eugraphe subrosea, Hemileuca nevadensis -complex, Lithophane thaxteri, Melanchra assimilis, Metarranthis obfirmaria, Olethreutes nanana, Sparganothis daphnana, Syngrapha microgamma, Xestia dilucida, Xestia youngii",,,
172,Chamaelirium luteum,CHLU,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (perennial),Chamaelirium luteum,Fairywand,Liliaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MI, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV",Pollinator,White,,Mar–May,1.5–2.5,,,,,,"Part Shade, Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,"Native Bees; Beetles, Wasps, Flies",Yes,,,Yes,,,,,,,,,,,
173,Chamerion angustifolium,CHAN9,1,1,0,0,1,4,0,Archewild Quakertown,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,Yes,Herb (perennial),Chamerion angustifolium,Fireweed,Onagraceae,"L48 (N), AK (N), CAN (N), GL (N), SPM (N)","AK, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,Pink,Yes,Jul–Sep,5.5,Moderate,Rhizomatous,Erect,No Color,Deciduous,Sun,Moist,High,,None,4.8–7,Medium,Rapid,"Spring, Summer, Fall",None,No,Low,High,,Seed,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Acronicta oblinita, Albuna pyramidalis, Alypia langtoni, Amphion floridensis, Androloma maccullochii, Eudryas unio, Eupithecia subfuscata, Hyles gallii, Hyles lineata, Mompha communis, Mompha conturbatella, Mompha sexstrigella, Peridroma saucia, Proserpinus flavofasciatus, Scythris magnatella, Scythris noricella, Spargania luctuata, Spargania magnoliata, Stilbosis ostryaeella, Trichodezia albovittata, Utetheisa bella",Yes,,
174,Chasmanthium latifolium,CHLA5,1,1,1,0,6,6,0,"Arcadia Washington, Archewild Quakertown, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Keystone Robesonia",ErnstSeed.com,Longwood Gardens,No,,7.2,No,Yes,No,Graminoid (perennial),Chasmanthium latifolium,Indian Woodoats,Poaceae,L48 (N),"AL, AR, AZ, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NM, OH, OK, PA, SC, TN, TX, VA, WI, WV",Workhorse/Pollinator,Green,No,Jun–Aug,4.5,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist, Dry",Medium,,None,5–7,Low,Moderate,Spring,None,No,Medium,None,High/High,"Seed, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Amblyscirtes aenus, Amblyscirtes belli, Amblyscirtes hegon, Amblyscirtes linda, Amblyscirtes vialis, Dicranoctetes brachyelytrifoliella, Enodia anthedon",,,Yes
175,Chelone glabra,CHGL2,1,1,1,1,11,6,3,"Arcadia Washington, Archewild Quakertown, Bowman's New Hope, Butterfly Oasis Lancaster, Collins Glenside, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,Longwood Gardens,Yes,,7.0,Yes,Yes,Yes,Herb (perennial),Chelone glabra,White Turtlehead,Scrophulariaceae,"L48 (N), CAN (N), SPM (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Workhorse/Pollinator,White,Yes,Jul–Sep,2–3,,,,,,"Sun, Part Shade, Shade",Wet,,Medium,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,Native Bees; Bombus; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,"Euphydryas phaeton, Eupithecia satyrata dodata, Eupithecia satyrata fumata, Papaipema nepheleptena",Yes,,
176,Chenopodium album,CHAL7,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,Herb (annual),Chenopodium album,Lambsquarters,Chenopodiaceae,"L48 (NI), AK (I), HI (I), CAN (NI), GL (I), SPM (I)","AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Pollinator,,Yes,,,,,,,,,Dry,,,,,,,,,,,,,,Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth),,,,,,,,,,Yes,Yes,"Brephidium exilis, Chrysoesthia lingulacella, Coleophora lineapulvella, Discestra trifolii, Emmelina monodactyla, Epiblema otiosana, Grammia ornata, Grammia parthenice, Helicoverpa zea, Holomelina aurantiaca, Hyles lineata, Hyphantria cunae, Hyppa xylinoides, Loxostege sticticalis, Mamestra configurata, Melanchra picta, Omiodes simialis, Orgyia leucostigma, Papaipema nebris, Pholisora catullus, Polia nebulosa, Pseudoplusia includens, Pyrgus communis, Scrobipalpa atriplecella, Scrobipalpula artemisiella, Spilonota prognathana, Spilosoma pteridis, Spilosoma virginica, Spodoptera eridania, Spodoptera exigua, Spodoptera frugiperda, Spodoptera ornithogalli, Spodoptera praefica, Staphylus hayhurstii, Trichoplusia ni",,,
177,Chimaphila umbellata,CHUM,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.2,No,No,No,Shrub,Chimaphila umbellata,Pipsissewa,Pyrolaceae,"L48 (N), AK (N), CAN (N)","AK, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY",Pollinator,White,Yes,May–Jun,1.5,Long,Rhizomatous,Decumbent,No Color,Evergreen,"Sun, Part Shade, Shade","Moist, Dry",Low,,None,5.4–7.4,Medium,Slow,Summer,None,No,Medium,High,,"Seed, Sprig, Tuber",Available 2017,Medium,Adult Food; Larval Food,Bombus; Larval Host (Moth),,Yes,,,,,,,,,Yes,"Exelis pyrolaria, Schizura unicornis",,,
178,Chionanthus virginicus,CHVI3,1,1,1,0,7,5,0,"Bowman's New Hope, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Northeast Quakertown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,8.0,Yes,Yes,No,"Tree, Shrub",Chionanthus virginicus,White Fringetree,Oleaceae,L48 (N),"AL, AR, DC, DE, FL, GA, IA, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV",Workhorse/Pollinator,White,Yes,Apr–May,12–35,Short,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",High,,None,4.5–6.5,High,Slow,"Spring, Summer",None,No,Medium,Low,Medium/,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Adita chionanthi, Ceratomia undulosa, Hyphantria cunae, Manduca rustica rustica, Orgyia leucostigma, Podosesia syringae, Sphinx chersis, Sphinx kalmiae",,,
179,Chrysogonum virginianum,CHVI5,1,1,1,1,5,4,2,"Bowman's New Hope, Collins Glenside, Gino's Newtown, Northeast Quakertown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,Yes,,5.7,Yes,No,No,Herb (perennial),Chrysogonum virginianum,Green And Gold,Asteraceae,L48 (N),"AL, DC, FL, GA, KY, LA, MD, MS, NC, NY, OH, PA, SC, TN, VA, WV",Pollinator,Yellow,,Mar–May,0.5–1,,,,,,"Part Shade, Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,"Native Bees; Beetles, Wasps, Flies",Yes,,,Yes,,,,,,,,,,,
180,Chrysopsis mariana,CHMA14,1,1,1,1,1,4,2,Redbud Media,PlantMoreNatives.com,Longwood Gardens,Yes,,3.7,Yes,No,No,Herb (perennial),Chrysopsis mariana,Maryland Goldenaster,Asteraceae,L48 (N),"AL, DC, DE, FL, GA, KY, LA, MD, MS, NC, NJ, NY, OH, PA, RI, SC, TN, TX, VA, WV",Pollinator,Yellow–gold,,Jul–Oct,1–1.5,,,,,,"Sun, Part Shade",Dry,,,,,,,,,,,,,,Available 2017,Medium,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies",Yes,Yes,,Yes,,,,,,,,,,,
181,Cicuta maculata,CIMA2,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Herb (biennial or perennial),Cicuta maculata,Spotted Water Hemlock,Apiaceae,"L48 (N), AK (N), CAN (N)","AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Pollinator,,Yes,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Agonopterix clemensella, Depressaria cinereocostella, Depressaria juliella, Epermenia cicutaella, Papaipema birdi, Papilio polyxenes, Papilio polyxenes asterius, Papilio zelicaon",,,
182,Circaea lutetiana,CILU,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,No,No,Herb (perennial),Circaea lutetiana,Broadleaf Enchanter's Nightshade,Onagraceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV, WY",Pollinator,,Yes,,,,,,,,,,,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,Yes,,Yes,,,,,,,Yes,Mompha terminella,,,
183,Cirsium altissimum,CIAL2,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Herb (biennial),Cirsium altissimum,Tall Thistle,Asteraceae,L48 (N),"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV",Pollinator,,Yes,,,,,,,,,,,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,"Calephelis mutica, Calephelis muticum",,,
184,Cirsium discolor,CIDI,1,1,1,0,1,5,0,Arcadia Washington,PlantMoreNatives.com,Longwood Gardens,No,,6.0,Yes,Yes,Yes,Herb (biennial or perennial),Cirsium discolor,Field Thistle,Asteraceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Purple,Yes,Aug–Oct,3–8,,,,,,Sun,Moist,,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Butterfly); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Vanessa cardui,Yes,,
185,Cirsium horridulum,CIHO2,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Herb (annual or biennial),Cirsium horridulum,Yellow Thistle,Asteraceae,L48 (N),"AL, AR, CT, DE, FL, GA, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OK, PA, RI, SC, TN, TX, VA",Pollinator,,Yes,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,"Calephelis virginiensis, Homoeosoma electella, Homoeosoma pedionnastes, Rotruda mucidella, Tebenna carduiella, Udea rubigalis",,,
186,Cirsium muticum,CIMU,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Herb (biennial),Cirsium muticum,Swamp Thistle,Asteraceae,"L48 (N), CAN (N), SPM (N)","AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,,Yes,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,"Calephelis mutica, Calephelis muticum",,,
187,Cirsium pumilum,CIPU4,1,1,0,0,1,5,0,Hungry Hook Bainbridge,PlantMoreNatives.com,Longwood Gardens,No,,6.0,Yes,Yes,No,Herb (perennial),Cirsium pumilum,Pasture Thistle,Asteraceae,L48 (N),"CT, DC, DE, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, VA, VT, WV",Pollinator,,Yes,,,,,,,,,,,,,,,,,,,,,,,Unlikely,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
188,Cirsium undulatum,CIUN,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (biennial or perennial),Cirsium undulatum,Wavyleaf Thistle,Asteraceae,"L48 (NI), CAN (N)","AZ, CA, CO, GA, IA, ID, IL, IN, KS, MI, MN, MO, MT, ND, NE, NM, NV, OK, OR, PA, SD, TX, UT, WA, WI, WY",Pollinator,,Yes,Jun–Aug,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies",Yes,Yes,,Yes,,Yes,,,,,,,,,
189,Cladrastis kentukea,CLKE,1,1,1,0,2,4,0,"Edge ot Woods Orefield, Go Native Trees",PlantMoreNatives.com,Longwood Gardens,No,,6.2,Yes,Yes,No,Tree,Cladrastis kentukea,Kentucky Yellowwood,Fabaceae,"L48 (N), CAN (I)","AL, AR, CT, GA, IA, IL, IN, KY, LA, MA, ME, MO, MS, NC, NY, OH, OK, PA, RI, TN, VA",Workhorse/Pollinator,White,Yes,Jun–Jul,30–50,Long,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade",Moist,Low,,None,4.8–7.5,Low,Moderate,"Spring, Summer",Low,Yes,Medium,None,,"Seed, Container, Bare root, Cutting",Available 2017,Medium,Adult Food,Native Bees; Butterflies,Yes,,,,,Yes,,,,,,,,,
190,Claytonia virginica,CLVI3,1,1,1,0,3,4,0,"Gino's Newtown, Keystone Robesonia, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,5.6,Yes,Yes,No,Herb (perennial),Claytonia virginica,Virginia Springbeauty,Portulacaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,,Yes,Mar,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,
